pathway_id,from_stop_id,to_stop_id,pathway_mode,is_bidirectional,length,traversal_time,stair_count,max_slope,min_width
SO:ASC04,SO:ASC04_BOT,SO:ASC04_TOP,5,1,,28,,,
SP-SO:PAS_066,SO:ASC01_TOP,SP-SO:ZP_010,1,1,17.0,12,,,
SP-SO:PAS_067,SO:ASC01_INT,SP-SO:ZP_06,1,1,5.0,3,,,
SP-SO:PAS_054,SO:ASC01_BOT,SO:L5-V1_BA_01,1,1,31.0,22,,,
SP-SO:PAS_057,SO:ASC02_BOT,SO:L5-V2_BA_01,1,1,21.0,15,,,
SP-SO:PAS_016,SO:ASC02_TOP,SP-SO:ZP_08,1,1,0.5,,,,
SP-SO:RAM_C1,SP-SO:RAM_C1_TOP,SP-SO:RAM_C1_BOT,1,1,34.0,24,,,
SP-SO:PAS_C2,SP-SO:RAM_C1_TOP,SP-SO:C,1,1,7.0,5,,,
SP-SO:PAS_071,SP-SO:RAM_C1_BOT,SP-SO:ZNP_01,1,1,10.3,7,,,
SO:ASC02,SO:ASC02_TOP,SO:ASC02_BOT,5,1,,28,,,
SO:ASC01_TOP_TO_INT,SO:ASC01_TOP,SO:ASC01_INT,5,1,,28,,,
SO:ASC01_INT_TO_BOT,SO:ASC01_INT,SO:ASC01_BOT,5,1,,28,,,
SRA:ESC_A1,SRA:ESC_A1_BOT,SRA:ESC_A1_TOP,2,1,,12,40,,
SRA:PLA03,SRA:PLA03_BOT,SRA:PLA03_TOP,5,1,,29,,,
SRA:PLA04,SRA:PLA04_BOT,SRA:PLA04_TOP,5,1,,29,,,
SRA:ESC_B1,SRA:ESC_B1_BOT,SRA:ESC_B1_TOP,2,1,,12,40,,
SRA:PAS_01,SRA:PLA03_TOP,SRA:ZNP_01,1,1,40.0,28,,,
SRA:PAS_02,SRA:PLA04_TOP,SRA:ZNP_01,1,1,33.0,23,,,
SRA:PAS_03,SRA:ZNP_01,SRA:ZNP_02,1,1,16.0,11,,,
SRA:PAS_04,SRA:ZNP_02,SRA:ZNP_03,1,1,15.0,10,,,
SRA:PAS_05,SRA:ZNP_02,SRA:ZNP_04,1,1,3.0,2,,,
SRA:PAS_06,SRA:ZNP_02,SRA:ZNP_05,1,1,3.0,2,,,
SRA:BU,SRA:ZNP_03,SRA:ZP_01,6,0,1.6,4,,,
SRA:BU-PRME_01,SRA:ZNP_04,SRA:ZP_02,6,0,1.6,4,,,
SRA:BU-PRME_02,SRA:ZNP_05,SRA:ZP_03,6,0,1.6,4,,,
SRA:PDS_01,SRA:ZP_02,SRA:ZNP_04,7,0,1.6,5,,,
SRA:PDS_02,SRA:ZP_03,SRA:ZNP_05,7,0,1.6,5,,,
SRA:PAS_07,SRA:ZP_02,SRA:PLA02_TOP,1,1,3.0,2,,,
SRA:PAS_08,SRA:ZP_03,SRA:PLA01_TOP,1,1,3.0,2,,,
SRA:PLA01,SRA:PLA01_TOP,SRA:PLA01_BOT,5,1,,29,,,
SRA:PLA02,SRA:PLA02_TOP,SRA:PLA02_BOT,5,1,,29,,,
SRA:PAS_09,SRA:ZP_01,SRA:ESC_01_TOP,1,1,6.3,4,,,
SRA:PAS_10,SRA:ZP_01,SRA:ESC_02_TOP,1,1,6.3,4,,,
SRA:ESC_01,SRA:ESC_01_TOP,SRA:ESC_01_BOT,2,1,,9,-31,,
SRA:ESC_02,SRA:ESC_02_TOP,SRA:ESC_02_BOT,2,1,,9,-31,,
SRA:ESC_03,SRA:ESC_03_BOT,SRA:ESC_03_TOP,2,1,,9,31,,
SRA:ESC_04,SRA:ESC_04_BOT,SRA:ESC_04_TOP,2,1,,9,31,,
SRA:PAS_11,SRA:PLA02_BOT,SRA:L4A_V2_BA_03,1,1,7.0,5,,,1.45
SRA:PAS_12,SRA:PLA01_BOT,SRA:L4A_V1_BA_01,1,1,32.0,22,,,2.0
SRA:PAS_13,SRA:ESC_03_BOT,SRA:L4A_V2_BA_03,1,1,22.0,15,,,1.45
SRA:PAS_14,SRA:ESC_04_BOT,SRA:L4A_V1_BA_01,1,1,19.0,13,,,2.0
SRA:PAS_15,SRA:ESC_02_BOT,SRA:L4A_V2_BA_03,1,1,37.0,26,,,1.45
SRA:PAS_16,SRA:ESC_01_BOT,SRA:L4A_V1_BA_01,1,1,3.0,2,,,2.0
SRA:PAS_17,SRA:A,SRA:ESC_A1_BOT,1,1,7.0,5,,,
SRA:PAS_18,SRA:B,SRA:PLA04_BOT,1,1,8.0,5,,,
SRA:PAS_19,SRA:A,SRA:PLA03_BOT,1,1,7.0,5,,,
SRA:PAS_20,SRA:B,SRA:ESC_B1_BOT,1,1,8.0,5,,,
SRA:PAS_21,SRA:ESC_A1_TOP,SRA:ZNP_01,1,1,40.0,28,,,
SRA:PAS_22,SRA:ESC_B1_TOP,SRA:ZNP_01,1,1,33.0,23,,,
SRA:PAS_23,SRA:ZP_02,SRA:ESC_03_TOP,1,1,2.0,1,,,
SRA:PAS_24,SRA:ZP_03,SRA:ESC_04_TOP,1,1,2.0,1,,,
SRA:BU-PRMS_01,SRA:ZP_03,SRA:ZNP_05,7,0,1.6,5,,,
SRA:BU-PRMS_02,SRA:ZP_02,SRA:ZNP_04,7,0,1.6,5,,,
SRA:PAS_25,SRA:L4A_V1_BA_01,SRA:L4A_V1_BA_02,1,1,50.0,35,,,
SRA:PAS_26,SRA:L4A_V1_BA_02,SRA:L4A_V1_BA_03,1,1,50.0,35,,,
SRA:PAS_27,SRA:L4A_V2_BA_01,SRA:L4A_V2_BA_02,1,1,50.0,35,,,
SRA:PAS_28,SRA:L4A_V2_BA_02,SRA:L4A_V2_BA_03,1,1,50.0,35,,,
SRO:PLA01,SRO:PLA01_TOP,SRO:PLA01_BOT,5,1,,29,,,1.2
SRO:PLA02,SRO:PLA02_TOP,SRO:PLA02_BOT,5,1,,29,,,1.2
SRO:PLA03,SRO:PLA03_TOP,SRO:PLA03_BOT,5,1,,29,,,1.2
SRO:PLA05,SRO:PLA05_TOP,SRO:PLA05_BOT,5,1,,29,,,1.2
SRO:PLA04,SRO:PLA04_TOP,SRO:PLA04_BOT,5,1,,29,,,1.2
