route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,trip_short_name,wheelchair_accessible,bikes_allowed
L5,V,DV_L5_517_090515_V2,Plaza de Maipú,1,L5-R,DV5-517-090515-V2,1,0
L5,V,DV_L5_517_095836_V1,Vicente Valdés,0,L5-I,DV5-517-095836-V1,1,0
L5,V,DV_L5_517_105025_V2,Plaza de Maipú,1,L5-R,DV5-517-105025-V2,1,0
L5,V,DV_L5_517_114156_V1,Vicente Valdés,0,L5-I,DV5-517-114156-V1,1,0
L5,V,DV_L5_517_123355_V2,Plaza de Maipú,1,L5-R,DV5-517-123355-V2,1,0
L5,V,DV_L5_517_132526_V1,Vicente Valdés,0,L5-I,DV5-517-132526-V1,1,0
L5,V,DV_L5_517_141725_V2,Plaza de Maipú,1,L5-R,DV5-517-141725-V2,1,0
L5,V,DV_L5_517_150942_V1,Vicente Valdés,0,L5-I,DV5-517-150942-V1,1,0
L5,V,DV_L5_517_160155_V2,Plaza de Maipú,1,L5-R,DV5-517-160155-V2,1,0
L5,V,DV_L5_517_165454_V1,Vicente Valdés,0,L5-I,DV5-517-165454-V1,1,0
L5,V,DV_L5_517_174829_Ruta_Roja_V2,Plaza de Maipú (Ruta Roja),1,L5-R,DV5-517-174829-V2,1,0
L5,V,DV_L5_517_183859_Ruta_Roja_V1,Vicente Valdés (Ruta Roja),0,L5-I,DV5-517-183859-V1,1,0
L5,V,DV_L5_517_192909_Ruta_Roja_V2,Plaza de Maipú (Ruta Roja),1,L5-R,DV5-517-192909-V2,1,0
L5,V,DV_L5_517_202059_Ruta_Roja_V1,Vicente Valdés (Ruta Roja),0,L5-I,DV5-517-202059-V1,1,0
L5,V,DV_L5_518_054150_V2,Plaza de Maipú,1,L5-R,DV5-518-054150-V2,1,0
L5,V,DV_L5_518_063446_Ruta_Roja_V1,Vicente Valdés (Ruta Roja),0,L5-I,DV5-518-063446-V1,1,0
L5,V,DV_L5_518_072635_Ruta_Roja_V2,Plaza de Maipú (Ruta Roja),1,L5-R,DV5-518-072635-V2,1,0
L5,V,DV_L5_518_081706_Ruta_Roja_V1,Vicente Valdés (Ruta Roja),0,L5-I,DV5-518-081706-V1,1,0
L5,V,DV_L5_518_090835_V2,Plaza de Maipú,1,L5-R,DV5-518-090835-V2,1,0
L5,V,DV_L5_518_100206_V1,Vicente Valdés,0,L5-I,DV5-518-100206-V1,1,0
L5,V,DV_L5_518_105415_V2,Plaza de Maipú,1,L5-R,DV5-518-105415-V2,1,0
L5,V,DV_L5_518_114546_V1,Vicente Valdés,0,L5-I,DV5-518-114546-V1,1,0
L5,V,DV_L5_518_123745_V2,Plaza de Maipú,1,L5-R,DV5-518-123745-V2,1,0
L5,V,DV_L5_518_132916_V1,Vicente Valdés,0,L5-I,DV5-518-132916-V1,1,0
L5,V,DV_L5_518_142115_V2,Plaza de Maipú,1,L5-R,DV5-518-142115-V2,1,0
L5,V,DV_L5_518_151309_V1,Vicente Valdés,0,L5-I,DV5-518-151309-V1,1,0
L5,V,DV_L5_518_160455_V2,Plaza de Maipú,1,L5-R,DV5-518-160455-V2,1,0
L5,V,DV_L5_518_165754_V1,Vicente Valdés,0,L5-I,DV5-518-165754-V1,1,0
L5,V,DV_L5_518_175109_Ruta_Verde_V2,Plaza de Maipú (Ruta Verde),1,L5-R,DV5-518-175109-V2,1,0
L5,V,DV_L5_518_184139_Ruta_Verde_V1,Vicente Valdés (Ruta Verde),0,L5-I,DV5-518-184139-V1,1,0
L5,V,DV_L5_518_193224_Ruta_Verde_V2,Plaza de Maipú (Ruta Verde),1,L5-R,DV5-518-193224-V2,1,0
L5,V,DV_L5_518_202414_Ruta_Verde_V1,Vicente Valdés (Ruta Verde),0,L5-I,DV5-518-202414-V1,1,0
L5,V,DV_L5_518_211624_V2,Plaza de Maipú,1,L5-R,DV5-518-211624-V2,1,0
L5,V,DV_L5_518_221014_V1,Vicente Valdés,0,L5-I,DV5-518-221014-V1,1,0
L5,V,DV_L5_519_160755_V2,Plaza de Maipú,1,L5-R,DV5-519-160755-V2,1,0
L5,V,DV_L5_519_170054_V1,Vicente Valdés,0,L5-I,DV5-519-170054-V1,1,0
L5,V,DV_L5_519_175349_Ruta_Roja_V2,Plaza de Maipú (Ruta Roja),1,L5-R,DV5-519-175349-V2,1,0
L5,V,DV_L5_519_184429_Ruta_Roja_V1,Vicente Valdés (Ruta Roja),0,L5-I,DV5-519-184429-V1,1,0
L5,V,DV_L5_519_193539_Ruta_Roja_V2,Plaza de Maipú (Ruta Roja),1,L5-R,DV5-519-193539-V2,1,0
L5,V,DV_L5_519_202729_Ruta_Roja_V1,Vicente Valdés (Ruta Roja),0,L5-I,DV5-519-202729-V1,1,0
L5,V,DV_L5_520_054450_V2,Plaza de Maipú,1,L5-R,DV5-520-054450-V2,1,0
L5,V,DV_L5_520_063756_Ruta_Verde_V1,Vicente Valdés (Ruta Verde),0,L5-I,DV5-520-063756-V1,1,0
L5,V,DV_L5_520_072915_Ruta_Verde_V2,Plaza de Maipú (Ruta Verde),1,L5-R,DV5-520-072915-V2,1,0
L5,V,DV_L5_520_081946_Ruta_Verde_V1,Vicente Valdés (Ruta Verde),0,L5-I,DV5-520-081946-V1,1,0
L5,V,DV_L5_520_091155_V2,Plaza de Maipú,1,L5-R,DV5-520-091155-V2,1,0
L5,V,DV_L5_520_100536_V1,Vicente Valdés,0,L5-I,DV5-520-100536-V1,1,0
L5,V,DV_L5_520_105805_V2,Plaza de Maipú,1,L5-R,DV5-520-105805-V2,1,0
L5,V,DV_L5_520_114936_V1,Vicente Valdés,0,L5-I,DV5-520-114936-V1,1,0
L5,V,DV_L5_520_124135_V2,Plaza de Maipú,1,L5-R,DV5-520-124135-V2,1,0
L5,V,DV_L5_520_133306_V1,Vicente Valdés,0,L5-I,DV5-520-133306-V1,1,0
L5,V,DV_L5_520_142505_V2,Plaza de Maipú,1,L5-R,DV5-520-142505-V2,1,0
L5,V,DV_L5_520_151636_V1,Vicente Valdés,0,L5-I,DV5-520-151636-V1,1,0
L5,V,DV_L5_520_161055_V2,Plaza de Maipú,1,L5-R,DV5-520-161055-V2,1,0
L5,V,DV_L5_520_170354_V1,Vicente Valdés,0,L5-I,DV5-520-170354-V1,1,0
L5,V,DV_L5_520_175629_Ruta_Verde_V2,Plaza de Maipú (Ruta Verde),1,L5-R,DV5-520-175629-V2,1,0
L5,V,DV_L5_520_184719_Ruta_Verde_V1,Vicente Valdés (Ruta Verde),0,L5-I,DV5-520-184719-V1,1,0
